SPX 8/7/2018,NAME,GICS_SECTOR_NAME
CERN UW Equity,CERNER CORP,Health Care
CINF UW Equity,CINCINNATI FINANCIAL CORP,Financials
DHI UN Equity,DR HORTON INC,Consumer Discretionary
FLS UN Equity,FLOWSERVE CORP,Industrials
EA UW Equity,ELECTRONIC ARTS INC,Communication Services
ESRX UW Equity,EXPRESS SCRIPTS HOLDING CO,Health Care
EXPD UW Equity,EXPEDITORS INTL WASH INC,Industrials
FAST UW Equity,FASTENAL CO,Industrials
XEL UW Equity,XCEL ENERGY INC,Utilities
MTB UN Equity,M & T BANK CORP,Financials
FISV UW Equity,FISERV INC,Information Technology
FITB UW Equity,FIFTH THIRD BANCORP,Financials
GILD UW Equity,GILEAD SCIENCES INC,Health Care
HAS UW Equity,HASBRO INC,Consumer Discretionary
HBAN UW Equity,HUNTINGTON BANCSHARES INC,Financials
WELL UN Equity,WELLTOWER INC,Real Estate
BIIB UW Equity,BIOGEN INC,Health Care
NTRS UW Equity,NORTHERN TRUST CORP,Financials
PKG UN Equity,PACKAGING CORP OF AMERICA,Materials
PAYX UW Equity,PAYCHEX INC,Information Technology
PBCT UW Equity,PEOPLE'S UNITED FINANCIAL,Financials
QCOM UW Equity,QUALCOMM INC,Information Technology
ROP UN Equity,ROPER TECHNOLOGIES INC,Industrials
ROST UW Equity,ROSS STORES INC,Consumer Discretionary
IDXX UW Equity,IDEXX LABORATORIES INC,Health Care
SBUX UW Equity,STARBUCKS CORP,Consumer Discretionary
KEY UN Equity,KEYCORP,Financials
STT UN Equity,STATE STREET CORP,Financials
NCLH UN Equity,NORWEGIAN CRUISE LINE HOLDIN,Consumer Discretionary
AOS UN Equity,SMITH (A.O.) CORP,Industrials
USB UN Equity,US BANCORP,Financials
TROW UW Equity,T ROWE PRICE GROUP INC,Financials
WM UN Equity,WASTE MANAGEMENT INC,Industrials
VIAC UN Equity,VIACOMCBS INC - CLASS B,Communication Services
AGN UN Equity,ALLERGAN PLC,Health Care
STZ UN Equity,CONSTELLATION BRANDS INC-A,Consumer Staples
XLNX UW Equity,XILINX INC,Information Technology
XRAY UW Equity,DENTSPLY SIRONA INC,Health Care
