Companies,Ticker,PE_Calc,PBV_Calc,IQ_MarketCap,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_NORM_MARGIN,Return on Equity_Calc,IQ_RETURN_ASSETS,IQ_BETA_2YR
"Charter Communications, Inc.",NasdaqGS:CHTR,99.8183057,3.034500368,100059.6145,65.2708,2.3019,2.983698714,2.6398,1.13963
Chevron Corporation,NYSE:CVX,18.1360005,1.410258401,219776.0744,19.0477,8.3093,7.777705299,3.287,0.93135
"Chipotle Mexican Grill, Inc.",NYSE:CMG,79.85464386,14.09783873,22868.22614,63.3923,5.3205,18.10135188,7.7052,1.10411
Chubb Limited,NYSE:CB,25.01934443,1.262983037,68873.15429,23.3216,8.4091,5.098010663,1.6436,0.64865
"Church & Dwight Co., Inc.",NYSE:CHD,34.99641967,6.651638182,17030.89707,47.8173,11.3954,18.90341581,8.4288,0.43004
Cigna Corporation,NYSE:CI,16.02616339,1.60277883,71604.31489,46.8369,3.2102,10.15392759,4.1289,1.00742
Cimarex Energy Co.,NYSE:XEC,9.679726419,1.211348094,4711.13803,36.4615,20.3237,12.53618991,7.2965,1.23081
Cincinnati Financial Corporation,NasdaqGS:CINF,24.76445318,1.836440973,17206.55337,8.629,10.7027,7.509556083,3.0785,0.77355
Cintas Corporation,NasdaqGS:CTAS,40.23368435,8.743293448,26708.08494,49.9575,9.6366,21.89511185,9.9003,0.9405
"Cisco Systems, Inc.",NasdaqGS:CSCO,20.80582638,5.455405632,187847.3866,36.3326,17.7626,26.57691352,9.1179,1.17193
Citigroup Inc.,NYSE:C,11.91771962,0.932429759,164940.3022,0,22.5185,7.902922447,0.9531,1.3504
"Citizens Financial Group, Inc.",NYSE:CFG,12.64922793,0.83863192,17014.89935,0,23.3076,6.706308732,1.1184,1.33203
"Citrix Systems, Inc.",NasdaqGS:CTXS,42.19059587,19.94111495,14252.56171,58.6472,11.3812,55.30086143,7.5631,0.80137
CME Group Inc.,NasdaqGS:CME,41.64683097,2.732071606,73360.63016,14.4392,35.2424,6.59772056,2.2778,0.37694
CMS Energy Corporation,NYSE:CMS,36.83368199,3.518157299,17440.87186,72.6161,6.8578,9.654697471,3.1549,0.20112
Cognizant Technology Solutions Corporation,NasdaqGS:CTSH,19.14878174,3.118482818,33226.29408,13.7074,10.7912,16.42617327,10.6811,0.90525
Colgate-Palmolive Company,NYSE:CL,29.4889056,-178.4467252,57816.20308,98.0619,12.7275,-584.722737,16.066,0.67113
Comcast Corporation,NasdaqGS:CMCS.A,19.99277656,2.449156854,191386.9582,56.699,8.8191,12.34673733,5.6623,0.97534
Comerica Incorporated,NYSE:CMA,10.71046603,1.397322426,10061.97251,0,30.3184,13.18711671,1.7173,1.16355
"Conagra Brands, Inc.",NYSE:CAG,16.01194604,1.87267755,13932.9084,58.951,8.2855,11.7324497,6.5702,0.96871
Concho Resources Inc.,NYSE:CXO,23.25532729,0.838268041,15515.95513,19.3455,16.0891,3.658089015,2.9848,1.39603
ConocoPhillips Company,NYSE:COP,13.79708355,1.925668208,67679.53138,30.8551,14.2515,14.48295903,6.9954,0.91346
"Consolidated Edison, Inc.",NYSE:ED,29.9862034,1.619237256,29117.57944,54.397,7.5296,5.437789417,2.9992,0.22058
"Constellation Brands, Inc.",NYSE:STZ,59.81464771,3.042423057,34617.63015,53.6571,7.058,4.913769764,6.4118,0.7819
"Copart, Inc.",NasdaqGS:CPRT,42.99823702,10.65169711,20523.38185,21.9205,22.1018,25.62195961,18.3864,0.94692
Corning Incorporated,NYSE:GLW,24.5307466,2.004785155,21550.45595,34.8931,7.6305,8.084454179,3.3948,1.25608
"Corteva, Inc.",NYSE:CTVA,125.388849,0.783842317,19608.10075,14.4767,3.1045,0.614609619,0.1081,0
Costco Wholesale Corporation,NasdaqGS:COST,44.27346096,8.516779613,130458.9431,31.7329,1.9208,19.73065663,6.8668,0.84807
Coty Inc.,NYSE:COTY,51.36514983,1.966035338,8768.80993,64.2556,1.9789,3.764638636,1.9381,1.02033
Crown Castle International Corp. (REIT),NYSE:CCI,88.99011001,4.94461415,55966.59348,67.5974,10.761,5.508212577,2.9547,0.5275
CSX Corporation,NasdaqGS:CSX,20.85113805,4.73002335,55780.41933,59.2752,22.8423,22.52487322,8.3321,1.15626
Cummins Inc.,NYSE:CMI,14.60388437,3.56533634,27553.89878,26.2656,8.1325,24.06372677,9.0307,1.24815
CVS Health Corporation,NYSE:CVS,15.16492241,1.524073821,95425.70991,58.7624,2.4956,10.15031077,4.1483,1.23761
"D.R. Horton, Inc.",NYSE:DHI,15.68355737,2.055603883,20602.45504,24.8231,7.55,13.38240757,8.8787,0.53201
