Company Name,Ticker,IQ_PE_EXCL,IQ_PE_NORMALIZED,IQ_PBV,IQ_TOTAL_DEBT_EQUITY,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_MARGIN,IQ_NI_NORM_MARGIN,IQ_RETURN_COMMON_EQUITY,IQ_RETURN_ASSETS,IQ_BETA_2YR,IQ_BETA_5YR
Sysco Corporation,NYSE:SYY,25.39295,29.65872,17.22549,375.8244,78.9838,2.8188,2.4143,66.6366,8.9174,0.62282,0.45851
"Ross Stores, Inc.",NasdaqGS:ROST,25.18403,31.28906,12.40611,106.006,51.4577,10.4651,8.4244,50.9437,16.7756,0.98097,0.81981
Sempra Energy,NYSE:SRE,17.67089,31.18336,2.51356,130.9328,56.6973,21.2653,10.658,15.8984,2.7058,0.31163,0.42259
FedEx Corporation,NYSE:FDX,91.99917,72.01327,2.24932,180.524,64.3524,0.6457,0.8215,2.4049,1.5548,1.4775,1.71219
"Regeneron Pharmaceuticals, Inc.",NasdaqGS:REGN,19.9153,29.24172,3.87162,7.0256,6.5644,28.1328,19.1623,23.3411,11.377,1.10477,1.19486
Dow Inc.,NYSE:DOW,40.75578,21.49754,2.26809,114.7892,53.4427,4.1507,4.1345,0,0,0,0
"Autodesk, Inc.",NasdaqGS:ADSK,268.8351,276.12671,NM,NM,109.1613,4.736,4.6207,NM,4.1453,1.54864,1.89
Dollar General Corporation,NYSE:DG,24.25311,30.03853,5.92508,171.3593,63.1484,6.0939,4.9132,25.5357,7.883,0.63601,0.51214
Lam Research Corporation,NasdaqGS:LRCX,19.86709,28.34963,7.91973,91.9962,47.9156,22.3832,15.6754,41.4039,12.9309,1.63828,1.64107
Marathon Petroleum Corporation,NYSE:MPC,12.9824,18.02077,1.15982,71.9489,41.8431,2.5086,1.8053,12.8578,5.0497,1.17882,1.68772
Aflac Incorporated,NYSE:AFL,13.08725,15.54041,1.32327,28.6092,22.2451,13.9624,11.767,11.5735,1.8569,0.8487,0.71435
Eaton Corporation plc,NYSE:ETN,16.54884,22.7517,2.42802,53.805,34.9826,11.0591,8.045,14.6616,5.8699,1.09282,1.43091
